--------- beginning of main
--------- beginning of system
01-13 01:39:58.911 13639 13724 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 01:39:58.964 13639 13724 D SnpeWhyDistractionNativ: Frame number: 1, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:39:59.020 13639 13724 D SnpeWhyDistractionNativ: Frame number: 2, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:39:59.106 13639 13724 D SnpeWhyDistractionNativ: Frame number: 3, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0602839, 0.0, 0.0], modelConfidence = [0.4808113, 0.0, 0.0]
01-13 01:39:59.178 13639 13724 D SnpeWhyDistractionNativ: Frame number: 4, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:39:59.237 13639 13724 D SnpeWhyDistractionNativ: Frame number: 5, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:39:59.332 13639 13724 D SnpeWhyDistractionNativ: Frame number: 6, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0097113, 0.0, 0.0], modelConfidence = [0.52333915, 0.0, 0.0]
01-13 01:39:59.367 13639 13724 D SnpeWhyDistractionNativ: Frame number: 7, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:39:59.446 13639 13724 D SnpeWhyDistractionNativ: Frame number: 8, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:39:59.506 13639 13724 D SnpeWhyDistractionNativ: Frame number: 9, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0729877, 0.0, 0.0], modelConfidence = [0.43928283, 0.0, 0.0]
01-13 01:39:59.569 13639 13724 D SnpeWhyDistractionNativ: Frame number: 10, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:39:59.618 13639 13724 D SnpeWhyDistractionNativ: Frame number: 11, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:39:59.729 13639 13724 D SnpeWhyDistractionNativ: Frame number: 12, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0693504, 0.0, 0.0], modelConfidence = [0.4606957, 0.0, 0.0]
01-13 01:39:59.817 13639 13724 D SnpeWhyDistractionNativ: Frame number: 13, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:39:59.944 13639 13724 D SnpeWhyDistractionNativ: Frame number: 14, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:00.031 13639 13724 D SnpeWhyDistractionNativ: Frame number: 15, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0398937, 0.0, 0.0], modelConfidence = [0.49163207, 0.0, 0.0]
01-13 01:40:00.114 13639 13724 D SnpeWhyDistractionNativ: Frame number: 16, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:00.219 13639 13724 D SnpeWhyDistractionNativ: Frame number: 17, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:00.345 13639 13724 D SnpeWhyDistractionNativ: Frame number: 18, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.1388764, 0.0, 0.0], modelConfidence = [0.44985622, 0.0, 0.0]
01-13 01:40:00.417 13639 13724 D SnpeWhyDistractionNativ: Frame number: 19, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:00.490 13639 13724 D SnpeWhyDistractionNativ: Frame number: 20, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:00.609 13639 13724 D SnpeWhyDistractionNativ: Frame number: 21, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.1079658, 0.0, 0.0], modelConfidence = [0.35956627, 0.0, 0.0]
01-13 01:40:00.702 13639 13724 D SnpeWhyDistractionNativ: Frame number: 22, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:00.790 13639 13724 D SnpeWhyDistractionNativ: Frame number: 23, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:00.909 13639 13724 D SnpeWhyDistractionNativ: Frame number: 24, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0011581, 0.0, 0.0], modelConfidence = [0.51012766, 0.0, 0.0]
01-13 01:40:00.990 13639 13724 D SnpeWhyDistractionNativ: Frame number: 25, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:01.081 13639 13724 D SnpeWhyDistractionNativ: Frame number: 26, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:01.212 13639 13724 D SnpeWhyDistractionNativ: Frame number: 27, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0806602, 0.0, 0.0], modelConfidence = [0.42541286, 0.0, 0.0]
01-13 01:40:01.293 13639 13724 D SnpeWhyDistractionNativ: Frame number: 28, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:01.416 13639 13724 D SnpeWhyDistractionNativ: Frame number: 29, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:01.512 13639 13724 D SnpeWhyDistractionNativ: Frame number: 30, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0453779, 0.0, 0.0], modelConfidence = [0.48464856, 0.0, 0.0]
01-13 01:40:01.598 13639 13724 D SnpeWhyDistractionNativ: Frame number: 31, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:01.695 13639 13724 D SnpeWhyDistractionNativ: Frame number: 32, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:01.815 13639 13724 D SnpeWhyDistractionNativ: Frame number: 33, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0495398, 0.0, 0.0], modelConfidence = [0.46659327, 0.0, 0.0]
01-13 01:40:01.889 13639 13724 D SnpeWhyDistractionNativ: Frame number: 34, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:01.987 13639 13724 D SnpeWhyDistractionNativ: Frame number: 35, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:02.114 13639 13724 D SnpeWhyDistractionNativ: Frame number: 36, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.7636722, 0.0, 0.0], modelConfidence = [0.62913, 0.0, 0.0]
01-13 01:40:02.186 13639 13724 D SnpeWhyDistractionNativ: Frame number: 37, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:02.299 13639 13724 D SnpeWhyDistractionNativ: Frame number: 38, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:02.425 13639 13724 D SnpeWhyDistractionNativ: Frame number: 39, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.8267937, 0.0, 0.0], modelConfidence = [0.5781332, 0.0, 0.0]
01-13 01:40:02.499 13639 13724 D SnpeWhyDistractionNativ: Frame number: 40, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:02.605 13639 13724 D SnpeWhyDistractionNativ: Frame number: 41, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:02.721 13639 13724 D SnpeWhyDistractionNativ: Frame number: 42, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9003784, 0.0, 0.0], modelConfidence = [0.57732904, 0.0, 0.0]
01-13 01:40:02.823 13639 13724 D SnpeWhyDistractionNativ: Frame number: 43, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:02.888 13639 13724 D SnpeWhyDistractionNativ: Frame number: 44, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.032 13639 13724 D SnpeWhyDistractionNativ: Frame number: 45, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.93278503, 0.0, 0.0], modelConfidence = [0.56003225, 0.0, 0.0]
01-13 01:40:03.131 13639 13724 D SnpeWhyDistractionNativ: Frame number: 46, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.214 13639 13724 D SnpeWhyDistractionNativ: Frame number: 47, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.325 13639 13724 D SnpeWhyDistractionNativ: Frame number: 48, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.95811677, 0.0, 0.0], modelConfidence = [0.58638984, 0.0, 0.0]
01-13 01:40:03.408 13639 13724 D SnpeWhyDistractionNativ: Frame number: 49, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.508 13639 13724 D SnpeWhyDistractionNativ: Frame number: 50, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.647 13639 13724 D SnpeWhyDistractionNativ: Frame number: 51, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0697542, 0.0, 0.0], modelConfidence = [0.44463882, 0.0, 0.0]
01-13 01:40:03.701 13639 13724 D SnpeWhyDistractionNativ: Frame number: 52, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.820 13639 13724 D SnpeWhyDistractionNativ: Frame number: 53, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.932 13639 13724 D SnpeWhyDistractionNativ: Frame number: 54, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.96358377, 0.0, 0.0], modelConfidence = [0.49331176, 0.0, 0.0]
01-13 01:40:04.026 13639 13724 D SnpeWhyDistractionNativ: Frame number: 55, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.101 13639 13724 D SnpeWhyDistractionNativ: Frame number: 56, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.233 13639 13724 D SnpeWhyDistractionNativ: Frame number: 57, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.71287805, 0.0, 0.0], modelConfidence = [0.70299625, 0.0, 0.0]
01-13 01:40:04.303 13639 13724 D SnpeWhyDistractionNativ: Frame number: 58, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.381 13639 13724 D SnpeWhyDistractionNativ: Frame number: 59, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.541 13639 13724 D SnpeWhyDistractionNativ: Frame number: 60, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0399597, 0.0, 0.0], modelConfidence = [0.41675445, 0.0, 0.0]
01-13 01:40:04.650 13639 13724 D SnpeWhyDistractionNativ: Frame number: 61, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.748 13639 13724 D SnpeWhyDistractionNativ: Frame number: 62, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.859 13639 13724 D SnpeWhyDistractionNativ: Frame number: 63, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9951822, 0.0, 0.0], modelConfidence = [0.46039066, 0.0, 0.0]
01-13 01:40:04.941 13639 13724 D SnpeWhyDistractionNativ: Frame number: 64, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
