--------- beginning of main
--------- beginning of system
01-12 18:51:38.441 13809 13909 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-12 18:51:38.484 13809 13909 D SnpeWhyDistractionNativ: Frame number: 1, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:38.535 13809 13909 D SnpeWhyDistractionNativ: Frame number: 2, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:38.593 13809 13909 D SnpeWhyDistractionNativ: Frame number: 3, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9545632, 0.0, 0.0], modelConfidence = [0.46671718, 0.0, 0.0]
01-12 18:51:38.650 13809 13909 D SnpeWhyDistractionNativ: Frame number: 4, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:38.700 13809 13909 D SnpeWhyDistractionNativ: Frame number: 5, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:38.784 13809 13909 D SnpeWhyDistractionNativ: Frame number: 6, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.6944099, 0.0, 0.0], modelConfidence = [0.7230746, 0.0, 0.0]
01-12 18:51:38.806 13809 13909 D SnpeWhyDistractionNativ: Frame number: 7, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:38.894 13809 13909 D SnpeWhyDistractionNativ: Frame number: 8, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:38.963 13809 13909 D SnpeWhyDistractionNativ: Frame number: 9, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.7914276, 0.0, 0.0], modelConfidence = [0.73576635, 0.0, 0.0]
01-12 18:51:39.018 13809 13909 D SnpeWhyDistractionNativ: Frame number: 10, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:39.120 13809 13909 D SnpeWhyDistractionNativ: Frame number: 11, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:39.237 13809 13909 D SnpeWhyDistractionNativ: Frame number: 12, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.81911993, 0.0, 0.0], modelConfidence = [0.6467911, 0.0, 0.0]
01-12 18:51:39.320 13809 13909 D SnpeWhyDistractionNativ: Frame number: 13, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:39.403 13809 13909 D SnpeWhyDistractionNativ: Frame number: 14, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:39.554 13809 13909 D SnpeWhyDistractionNativ: Frame number: 15, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.60641843, 0.0, 0.0], modelConfidence = [0.8250737, 0.0, 0.0]
01-12 18:51:39.617 13809 13909 D SnpeWhyDistractionNativ: Frame number: 16, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:39.707 13809 13909 D SnpeWhyDistractionNativ: Frame number: 17, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:39.862 13809 13909 D SnpeWhyDistractionNativ: Frame number: 18, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.2507094, 0.0, 0.0], modelConfidence = [0.94990265, 0.0, 0.0]
01-12 18:51:40.019 13809 13909 D SnpeWhyDistractionNativ: Frame number: 19, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:40.103 13809 13909 D SnpeWhyDistractionNativ: Frame number: 20, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:40.256 13809 13909 D SnpeWhyDistractionNativ: Frame number: 21, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.448673, 0.0, 0.0], modelConfidence = [0.87486553, 0.0, 0.0]
01-12 18:51:40.311 13809 13909 D SnpeWhyDistractionNativ: Frame number: 22, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:40.363 13809 13909 D SnpeWhyDistractionNativ: Frame number: 23, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:40.478 13809 13909 D SnpeWhyDistractionNativ: Frame number: 24, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.5087355, 0.0, 0.0], modelConfidence = [0.83903575, 0.0, 0.0]
01-12 18:51:40.532 13809 13909 D SnpeWhyDistractionNativ: Frame number: 25, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:40.611 13809 13909 D SnpeWhyDistractionNativ: Frame number: 26, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:40.759 13809 13909 D SnpeWhyDistractionNativ: Frame number: 27, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0433322, 0.0, 0.0], modelConfidence = [0.5105515, 0.0, 0.0]
01-12 18:51:40.841 13809 13909 D SnpeWhyDistractionNativ: Frame number: 28, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:40.926 13809 13909 D SnpeWhyDistractionNativ: Frame number: 29, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.071 13809 13909 D SnpeWhyDistractionNativ: Frame number: 30, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.1130679, 0.0, 0.0], modelConfidence = [0.5172825, 0.0, 0.0]
01-12 18:51:41.147 13809 13909 D SnpeWhyDistractionNativ: Frame number: 31, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.227 13809 13909 D SnpeWhyDistractionNativ: Frame number: 32, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.349 13809 13909 D SnpeWhyDistractionNativ: Frame number: 33, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0825108, 0.0, 0.0], modelConfidence = [0.5080005, 0.0, 0.0]
01-12 18:51:41.426 13809 13909 D SnpeWhyDistractionNativ: Frame number: 34, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.512 13809 13909 D SnpeWhyDistractionNativ: Frame number: 35, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.637 13809 13909 D SnpeWhyDistractionNativ: Frame number: 36, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.8998179, 0.0, 0.0], modelConfidence = [0.5799475, 0.0, 0.0]
01-12 18:51:41.718 13809 13909 D SnpeWhyDistractionNativ: Frame number: 37, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.811 13809 13909 D SnpeWhyDistractionNativ: Frame number: 38, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.949 13809 13909 D SnpeWhyDistractionNativ: Frame number: 39, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0501045, 0.0, 0.0], modelConfidence = [0.47226426, 0.0, 0.0]
01-12 18:51:42.028 13809 13909 D SnpeWhyDistractionNativ: Frame number: 40, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.118 13809 13909 D SnpeWhyDistractionNativ: Frame number: 41, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.245 13809 13909 D SnpeWhyDistractionNativ: Frame number: 42, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0131849, 0.0, 0.0], modelConfidence = [0.48329923, 0.0, 0.0]
01-12 18:51:42.327 13809 13909 D SnpeWhyDistractionNativ: Frame number: 43, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.412 13809 13909 D SnpeWhyDistractionNativ: Frame number: 44, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.557 13809 13909 D SnpeWhyDistractionNativ: Frame number: 45, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0600159, 0.0, 0.0], modelConfidence = [0.42588937, 0.0, 0.0]
01-12 18:51:42.660 13809 13909 D SnpeWhyDistractionNativ: Frame number: 46, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.722 13809 13909 D SnpeWhyDistractionNativ: Frame number: 47, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.825 13809 13909 D SnpeWhyDistractionNativ: Frame number: 48, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.009758, 0.0, 0.0], modelConfidence = [0.43669635, 0.0, 0.0]
01-12 18:51:42.921 13809 13909 D SnpeWhyDistractionNativ: Frame number: 49, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.012 13809 13909 D SnpeWhyDistractionNativ: Frame number: 50, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.154 13809 13909 D SnpeWhyDistractionNativ: Frame number: 51, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.88380116, 0.0, 0.0], modelConfidence = [0.6298946, 0.0, 0.0]
01-12 18:51:43.227 13809 13909 D SnpeWhyDistractionNativ: Frame number: 52, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.322 13809 13909 D SnpeWhyDistractionNativ: Frame number: 53, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.451 13809 13909 D SnpeWhyDistractionNativ: Frame number: 54, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0015675, 0.0, 0.0], modelConfidence = [0.57921886, 0.0, 0.0]
01-12 18:51:43.537 13809 13909 D SnpeWhyDistractionNativ: Frame number: 55, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.617 13809 13909 D SnpeWhyDistractionNativ: Frame number: 56, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.751 13809 13909 D SnpeWhyDistractionNativ: Frame number: 57, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.5112541, 0.0, 0.0], modelConfidence = [0.84969825, 0.0, 0.0]
01-12 18:51:43.811 13809 13909 D SnpeWhyDistractionNativ: Frame number: 58, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.916 13809 13909 D SnpeWhyDistractionNativ: Frame number: 59, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
