--------- beginning of main
--------- beginning of system
01-13 00:37:27.645  4022  4212 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 00:37:27.702  4022  4212 D SnpeWhyDistractionNativ: Frame number: 1, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:27.747  4022  4212 D SnpeWhyDistractionNativ: Frame number: 2, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:27.805  4022  4212 D SnpeWhyDistractionNativ: Frame number: 3, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9545632, 0.0, 0.0], modelConfidence = [0.46671718, 0.0, 0.0]
01-13 00:37:27.854  4022  4212 D SnpeWhyDistractionNativ: Frame number: 4, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:27.905  4022  4212 D SnpeWhyDistractionNativ: Frame number: 5, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:27.989  4022  4212 D SnpeWhyDistractionNativ: Frame number: 6, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.6944099, 0.0, 0.0], modelConfidence = [0.7230746, 0.0, 0.0]
01-13 00:37:28.006  4022  4212 D SnpeWhyDistractionNativ: Frame number: 7, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:28.079  4022  4212 D SnpeWhyDistractionNativ: Frame number: 8, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:28.151  4022  4212 D SnpeWhyDistractionNativ: Frame number: 9, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.7914276, 0.0, 0.0], modelConfidence = [0.73576635, 0.0, 0.0]
01-13 00:37:28.225  4022  4212 D SnpeWhyDistractionNativ: Frame number: 10, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:28.340  4022  4212 D SnpeWhyDistractionNativ: Frame number: 11, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:28.447  4022  4212 D SnpeWhyDistractionNativ: Frame number: 12, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.81911993, 0.0, 0.0], modelConfidence = [0.6467911, 0.0, 0.0]
01-13 00:37:28.534  4022  4212 D SnpeWhyDistractionNativ: Frame number: 13, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:28.612  4022  4212 D SnpeWhyDistractionNativ: Frame number: 14, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:28.747  4022  4212 D SnpeWhyDistractionNativ: Frame number: 15, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.60641843, 0.0, 0.0], modelConfidence = [0.8250737, 0.0, 0.0]
