--------- beginning of main
01-13 00:38:57.136  4423  4511 D SnpeWhyDistractionNativ: Frame number: 1, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:57.196  4423  4511 D SnpeWhyDistractionNativ: Frame number: 2, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:57.266  4423  4511 D SnpeWhyDistractionNativ: Frame number: 3, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0602839, 0.0, 0.0], modelConfidence = [0.4808113, 0.0, 0.0]
01-13 00:38:57.324  4423  4511 D SnpeWhyDistractionNativ: Frame number: 4, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:57.372  4423  4511 D SnpeWhyDistractionNativ: Frame number: 5, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:57.450  4423  4511 D SnpeWhyDistractionNativ: Frame number: 6, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0097113, 0.0, 0.0], modelConfidence = [0.52333915, 0.0, 0.0]
01-13 00:38:57.492  4423  4511 D SnpeWhyDistractionNativ: Frame number: 7, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:57.552  4423  4511 D SnpeWhyDistractionNativ: Frame number: 8, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:57.627  4423  4511 D SnpeWhyDistractionNativ: Frame number: 9, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0729877, 0.0, 0.0], modelConfidence = [0.43928283, 0.0, 0.0]
01-13 00:38:57.671  4423  4511 D SnpeWhyDistractionNativ: Frame number: 10, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:57.786  4423  4511 D SnpeWhyDistractionNativ: Frame number: 11, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:57.913  4423  4511 D SnpeWhyDistractionNativ: Frame number: 12, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0693504, 0.0, 0.0], modelConfidence = [0.4606957, 0.0, 0.0]
01-13 00:38:57.999  4423  4511 D SnpeWhyDistractionNativ: Frame number: 13, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:58.071  4423  4511 D SnpeWhyDistractionNativ: Frame number: 14, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:58.192  4423  4511 D SnpeWhyDistractionNativ: Frame number: 15, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0398937, 0.0, 0.0], modelConfidence = [0.49163207, 0.0, 0.0]
01-13 00:38:58.262  4423  4511 D SnpeWhyDistractionNativ: Frame number: 16, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:58.381  4423  4511 D SnpeWhyDistractionNativ: Frame number: 17, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:58.486  4423  4511 D SnpeWhyDistractionNativ: Frame number: 18, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.1388764, 0.0, 0.0], modelConfidence = [0.44985622, 0.0, 0.0]
01-13 00:38:58.561  4423  4511 D SnpeWhyDistractionNativ: Frame number: 19, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:58.648  4423  4511 D SnpeWhyDistractionNativ: Frame number: 20, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:58.797  4423  4511 D SnpeWhyDistractionNativ: Frame number: 21, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.1079658, 0.0, 0.0], modelConfidence = [0.35956627, 0.0, 0.0]
01-13 00:38:58.887  4423  4511 D SnpeWhyDistractionNativ: Frame number: 22, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:58.970  4423  4511 D SnpeWhyDistractionNativ: Frame number: 23, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:59.086  4423  4511 D SnpeWhyDistractionNativ: Frame number: 24, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0011581, 0.0, 0.0], modelConfidence = [0.51012766, 0.0, 0.0]
