--------- beginning of main
01-13 00:39:53.991  4423  4511 D SnpeWhyDistractionNativ: destroyNativeObject: Destroyed why-distraction native object
--------- beginning of system
01-13 00:40:25.712  4704  4817 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 00:40:25.762  4704  4817 D SnpeWhyDistractionNativ: Frame number: 1, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:25.803  4704  4817 D SnpeWhyDistractionNativ: Frame number: 2, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:25.867  4704  4817 D SnpeWhyDistractionNativ: Frame number: 3, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.7020139, 0.0, 0.0], modelConfidence = [0.60139287, 0.0, 0.0]
01-13 00:40:25.922  4704  4817 D SnpeWhyDistractionNativ: Frame number: 4, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:25.956  4704  4817 D SnpeWhyDistractionNativ: Frame number: 5, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:26.036  4704  4817 D SnpeWhyDistractionNativ: Frame number: 6, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.6746534, 0.0, 0.0], modelConfidence = [0.61725, 0.0, 0.0]
01-13 00:40:26.060  4704  4817 D SnpeWhyDistractionNativ: Frame number: 7, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:26.125  4704  4817 D SnpeWhyDistractionNativ: Frame number: 8, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:26.208  4704  4817 D SnpeWhyDistractionNativ: Frame number: 9, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.6378227, 0.0, 0.0], modelConfidence = [0.6874603, 0.0, 0.0]
01-13 00:40:26.293  4704  4817 D SnpeWhyDistractionNativ: Frame number: 10, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:26.391  4704  4817 D SnpeWhyDistractionNativ: Frame number: 11, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:26.519  4704  4817 D SnpeWhyDistractionNativ: Frame number: 12, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.6555051, 0.0, 0.0], modelConfidence = [0.68580335, 0.0, 0.0]
01-13 00:40:26.598  4704  4817 D SnpeWhyDistractionNativ: Frame number: 13, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:26.687  4704  4817 D SnpeWhyDistractionNativ: Frame number: 14, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:26.827  4704  4817 D SnpeWhyDistractionNativ: Frame number: 15, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.63139397, 0.0, 0.0], modelConfidence = [0.68400115, 0.0, 0.0]
01-13 00:40:26.900  4704  4817 D SnpeWhyDistractionNativ: Frame number: 16, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:26.986  4704  4817 D SnpeWhyDistractionNativ: Frame number: 17, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:27.120  4704  4817 D SnpeWhyDistractionNativ: Frame number: 18, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.63310355, 0.0, 0.0], modelConfidence = [0.6767734, 0.0, 0.0]
01-13 00:40:27.205  4704  4817 D SnpeWhyDistractionNativ: Frame number: 19, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:27.289  4704  4817 D SnpeWhyDistractionNativ: Frame number: 20, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:27.413  4704  4817 D SnpeWhyDistractionNativ: Frame number: 21, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.47712135, 0.0, 0.0], modelConfidence = [0.81878555, 0.0, 0.0]
